PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,DINtoDIP,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata   ,Dinoflagellata ,Cryptophytes,picophytoplankton,Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum ,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp. ,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Anureopsis fissa,Ascomorpha saltans,Asplanchna priodonta,Brachionus angularis,Brachionus calyciflorus calyciflorus,Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus spinosus,Brachionus calyciflorus f.anureiformis,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Polyarthra vulgaris,Polyarthra platyptera,Pompholyx sp.,Synchaeta sp.,Trichocerca pusilla,Trichocerca similis,Years
4.3899165,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632107023,0.0201,2.0666,7.37,7.8796,4,3.7,4.420289855,3.77,5.69,0,0.005,0.04,0,0.02,1.73,0,0,0,0,0,0,0.0141,0,0.0093,0.0007,0.0166,0,0.0001,0,0,0.0003,0,0,0,0,0.0491,0.0143,0.0019,0.0026,0,0,0.0001,0,0,0,0
4.046672,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.337748344,0.0361,2.081,7.051,8.285,4,3.5,7.701149425,1.87,2.64,0,0.05,0.02,0,0,1.5,0,0,0,0,0.0129,0,0.0145,0,0.0079,0.0009,0.0161,0,0.0004,0,0.0032,0.0007,0,0,0,0,0.0654,0.0093,0.0024,0,0,0,0.0003,0,0,0,0
3.396314,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.21329212,0.0216,2.1939,7.667,9.397,2,3.1,4.571428571,2.26,8.52,0,0.08,0.1,0,0.03,3.2,0,0,0,0,0.0101,0,0.0126,0,0.0178,0.0031,0,0,0.0001,0,0.0032,0.0003,0,0,0,0,0.0002,0.0168,0.0027,0,0,0,0,0,0,0,0
3.360183,9.11,17.3,51,1,75.9,55.4,0.022,0.024,0.557,0.939,11.74409749,0.0201,2.1157,7.92,8.8308,2,3.2,46,4,10.17,0,0.69,0.21,0,0,4.5,0,0,0,0,0,0,0.0062,0,0.0065,0.0092,0.0019,0,0.0001,0,0.0031,0.002,0.0003,0,0,0,0.0603,0.0103,0.0022,0,0,0,0,0.0007,0,0,0
4.1369995,9.6,17,61,7,13.4,128.7,0.07,0.034,0.569,0.915,10.65057009,0.0368,2.2199,8.206,9.2792,4,2.7,14.85714286,2.93,6.38,0,0.1,0.09,0,0,3.48,0,0,0,0,0.0385,0,0,0,0.0186,0.002,0,0,0.0001,0,0.0039,0.0003,0,0,0,0,0.0185,0.0111,0.0018,0,0,0,0,0,0,0,0
3.8479515,8.98,20.1,66,14.7,4.2,160.3,0.045,0.029,0.674,0.609,7.572544643,0.018,2.515,8.48,7.81,5,3.7,5.034013605,8.25,2.03,0,0.41,0.06,0,0,1.66,0,0,0,0,0.6266,0.8396,0.9683,0,0.0194,0.1187,0,0,0,0,0,0.004,0,0,0,0,0.0069,0.073,0.009,0,0.1674,0.104,0,0,0.001,0.0005,0
4.082803,10.46,20.5,53.75,11.7,16.6,161.3,0.002,0.043,0.536,1.034,8.517932489,0.019,2.502,9.73,8.81,3,3.6,3.846153846,16.2,8.59,0,0.31,0.16,0,0,2.37,0,0,0,0,3.0674,4.8824,1.769,0,0.028,0.0814,0,0,0,0,0,0.0255,0,0,0,0,0.0454,1.9235,0.0363,0.0179,0.149,0.4369,0,0,0.0019,0,0
3.2337245,9.83,20,42.5,14.3,9.3,108.1,0.014,0.091,0.716,0.642,11.10858011,0.163,2.588,10.29,7.53,7,3.5,7.342657343,11.71,5.2,0.01,0.29,0.21,0,0,3.14,0,0,1.4737,0,4.9312,5.8227,1.379,0,0.0407,0.1763,0,0,0,0,0,0,0,0,0,0,0.0141,0.6028,0.0641,0,0.4745,0.8874,0,0,0.0058,0,0
2.637563,9.37,19.9,56.25,15.4,19.8,197.1,0.004,0.025,0.838,0.441,5.630650022,0.017,2.215,10.58,8.07,4,3,1.883116883,3.01,5.36,0.07,0.92,0.11,0,0,1.44,0,0,0,0,0.6201,0,0.6945,11.0414,0.09,0.1005,0,0,0,0,0,0.006,0,0,0,0,0.0122,0.6068,0.1524,0,0.08,0.0147,0,0,0.0029,0,0
2.962742,9.48,19.8,67.5,12.5,4.1,118.4,0.004,0.035,0.803,0.705,11.45925926,0.022,2.49,10.86,9.69,2,2.8,3.12,7.95,3.86,0,1.28,0.1,0,0,1.67,0,0,0,0,1.5798,0,0,6.2014,0.0814,0.0679,0,0,0,0,0,0.0203,0,0,0,0,0.011,0.5757,0.1002,0,0.0862,0.0203,0,0,0.0066,0,0
3.25179,9.8,20.3,70,13.9,0.8,122.7,0.017,0.037,0.614,1.081,12.72925764,0.036,2.738,10.21,9.33,1,3,3.884892086,4.18,14.33,0,0.06,0.24,0,0,2.33,0,0,0,0.0007,0.0466,0.1586,0,0.0089,0.0014,0.0012,0,0,0,0,0,0,0,0,0,0,0.001,0.0067,0.0002,0,0,0,0,0,0,0,0
3.3421175,11.15,20,68.75,10.9,51,107.9,0.012,0.029,0.543,1.126,10.07067138,0.035,2.891,10.26,9.74,2,1.8,3.76146789,5.4,12.19,0.12,0.43,0.38,0,0,4.43,0,0,0,0,0.0987,0.0003,0.0349,0,0.0394,0.0122,0,0,0,0,0,0,0,0,0,0,0.0011,0.0398,0.0043,0,0,0,0,0,0,0,0
3.4866415,9.74,20.4,52.5,11.6,39.1,135.4,0.017,0.042,0.84,0.646,8.301988178,0.025,2.629,9.82,7.73,4,3.6,5.086206897,7.27,5.7,0,0.46,0.07,0,0,1.77,0,0,0,0,0.0138,0.3833,0,0.0147,0.0042,0.0024,0.024,0,0,0,0,0,0,0,0,0,0.0013,0.0148,0.0018,0,0,0,0,0,0,0,0
3.9563445,8.89,20,57.5,13.5,8.2,125,0.014,0.064,0.721,0.594,9.495569189,0.05,2.361,10.09,9.33,2.5,2.8,5.777777778,3.31,3.8,0.02,0.57,0,0,0,2.58,0,0,0,0.0013,0.0244,0.1044,0.0184,0.0036,0.0024,0.0027,0.0128,0,0,0,0,0,0,0,0,0,0,0.0013,0.0005,0,0,0,0,0,0,0,0
3.360183,9.16,20,47.5,10.9,50.7,121.2,0.006,0.142,0.658,0.631,7.861050328,0.028,2.4,10.33,7.62,3,3.2,13.57798165,2.73,3.9,0,0.24,0.13,0,0,2.66,0,0,0,0,0.0062,0.1089,0,0.0153,0.0284,0.0047,0.0105,0,0,0,0,0,0,0,0,0,0.0004,0.0088,0.0004,0,0,0,0,0,0,0,0
4.263458,8.83,20,75,11.7,10.3,102.5,0.019,0.039,0.487,0.734,10.27309237,0.017,2.688,9.82,7.9,4,3.6,4.957264957,8.01,5.03,0.12,0.46,0.24,0,0,4.43,0,0,0,0,0.0222,0.2198,0,0.0145,0.0065,0.0155,0,0,0,0,0,0,0,0,0,0,0.002,0.0192,0.0011,0,0,0,0,0,0,0,0
3.685362,9.12,20.4,77.5,15.2,20.8,84.9,0.01,0.056,0.685,0.816,12.9611249,0.031,2.666,9.3,8.7,4,3.5,4.342105263,7.59,4.09,0.05,0.67,0.13,0,0,4.52,0,0,0,0,0.0911,0.6978,0,0.0154,0.035,0.0282,0,0,0,0,0,0,0,0,0,0,0.0033,0.0344,0.0008,0,0,0,0,0,0,0,0
4.191196,9.1,20.1,80,18.2,6.8,150.5,0.016,0.037,0.802,0.899,9.994301994,0.033,2.484,9.93,11.26,5,2.9,2.912087912,7.23,4.89,0.04,0.76,0.18,0,0,4.56,0,0,0,0,0.0232,0.1456,0,0.0108,0.0053,0.0028,0,0,0,0,0,0,0,0,0,0,0.0028,0.0335,0.005,0,0,0,0,0,0,0,0
3.4866415,9.09,20.2,91.25,12.8,80.8,48,0.014,0.053,0.259,0.049,2.648305085,0.028,2.462,9.63,13.35,5,2.8,5.234375,5.2,3.91,0.2,0.59,0.18,0.06,0,6.31,0,0,0,0,0.0057,0.1203,0,0.0138,0.023,0.0072,0.0102,0,0,0,0,0.0007,0,0,0,0,0.0028,0.0225,0,0,0,0,0,0,0,0,0
3.3421175,9.03,19.8,116.25,8.9,59.7,123.3,0.016,0.036,0.738,0.694,7.733194372,0.029,2.433,10.09,12.91,4,2.5,5.842696629,6.74,3.51,0,0.12,0.18,0.01,0.003,5.02,0,0,0,0,0,0.245,0.0406,0.0064,0.0198,0.0186,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0009,0,0,0,0,0,0,0,0
3.99,9.31,19.1,71.25,5.1,15.7,100.1,0.039,0.019,0.444,0.844,11.13316791,0.033,0.796,8.89,9.18,3,3.5,11.37254902,6.23,3.12,0.61,1.15,0.24,0,0,1.62,0,0,9.3458,0,2.3781,0.9661,2.002,0,0.025,0.169,0,0,0,0,0,0,0,0,0,0,0.0885,0.6511,0.0689,0,0.0267,0.0203,0,0,0.0041,0,0
4.02,11.86,20.7,57.5,13,10.1,80.5,0.035,0.057,0.626,0.913,15.74324324,0.054,0.924,8.45,9.4,0,3.5,7.076923077,7.77,5.28,0.3,0.83,0.38,0,0,1.92,0,0,16.8639,0,2.3626,0.6735,4.7329,0,0.0386,0.2074,0,0,0,0,0,0,0,0,0,0,0.1182,1.1943,0.1193,0.0158,0.087,0.0121,0,0,0.004,0,0
3.68,10.42,20.6,60,7.4,9.9,106.4,0.043,0.078,0.735,0.697,12.5545675,0.038,1.947,8.2,9.14,0.2,3.5,16.35135135,10.53,3.93,0,0.59,0.47,0,0,2.05,0,0,20.1422,0,3.6364,2.5166,3.6417,1.8175,0.0714,0.4316,0,0,0,0,0,0,0,0,0,0,0.1844,2.9542,0.1891,0,0.0971,0.0027,0,0,0.0058,0,0
4.42,11,20.2,60,9.7,9.8,131.6,0.032,0.058,0.7,0.414,7.968232958,0.03,1.412,8.32,11.15,0.2,3,9.278350515,4.1,5.36,0,0.42,0.32,0,0,1.59,0,0,4.9807,0,1.3078,0,3.4523,3.982,0.2523,0.3029,0,0,0,0,0,0,0,0,0,0,0.0676,1.9896,0.251,0,0.0852,0,0,0,0.0016,0,0
4.1,11.34,19.8,68.75,20.8,55.1,63,0.028,0.045,0.337,0.836,8.970482361,0.058,1.326,8.89,10.6,10,2.9,3.509615385,6.97,6.11,0,3.04,1.48,0,0,2.37,0,0,24.4393,0,0,0,4.4381,18.35,0.1278,0.1216,0,0,0,0,0,0.0131,0,0,0,0,0.0378,1.1078,0.1385,0,0.0551,0.01,0,0,0.0069,0,0
3.34,10.7,18.7,84.29,6,16.8,183.2,0.034,0.034,0.571,0.545,5.747572816,0.04,2.17,9,11.5,0,2,11.33333333,3.11,5.32,0.28,0.07,0.35,0,0,4.2,0,0,0.6407,0,0,0.0043,0.0365,0,0.0485,0.0032,0.0579,0.0135,0,0,0,0,0,0,0,0,0,0.0049,0.0025,0,0,0,0,0,0,0,0
3.61,9.42,18.7,77.14,1.3,16.3,128.5,0.038,0.023,0.719,0.775,10.64339493,0.039,1.424,8.81,11.38,4,2.5,46.92307692,3.87,5.03,0,0.14,0.16,0,0,3.18,0,0,0.7653,0,0.0069,0.0251,0.4899,0,0.0077,0.0035,0,0,0,0,0,0,0,0,0,0,0.001,0.0049,0.0015,0,0,0,0,0,0,0,0
4.42,9.05,18.9,77.14,5.4,20.6,155.2,0.035,0.033,0.548,0.606,6.74392936,0.032,1.106,8,9.898,3,3.5,12.59259259,3.85,3.37,0,0.22,0.94,0,0,3.84,0,0,0.382,0,0,0.0108,0.1889,0,0.008,0.0015,0,0.0126,0,0,0,0,0,0,0,0,0.0003,0.0089,0.001,0,0,0,0,0,0,0,0
4.3,9.31,18.7,72.86,13.6,7.2,125.3,0.027,0.026,0.553,1.108,11.73169062,0.035,1.608,8.08,10.12,2,3.8,3.897058824,5.77,3.69,0,0.76,0.08,0,0,2.97,0,0,0.3784,0,0.1075,0.023,0,0,0.0056,0.0019,0,0,0,0,0,0,0,0,0,0,0.0012,0.0271,0.0038,0,0,0,0,0,0,0,0
3.38,11.16,19.9,71.43,8.2,42.2,132.1,0.032,0.039,0.448,1.254,9.715068493,0.05,2.135,8.84,12.8,0,2.8,8.658536585,6.04,4.73,0.01,0.66,0.04,0,0,4.33,0,0,0.4685,0,0,0.0534,0.1692,0.0661,0.0439,0.0196,0,0.0318,0,0,0,0,0.0004,0,0,0,0.0124,0.0408,0.008,0,0,0,0,0,0,0,0
4.32,11.2,20.2,70,7.1,14.9,190.1,0.031,0.024,0.165,1.009,5.794436587,0.03,2.077,9.3,10.46,0.2,3.5,7.746478873,3.16,3.99,0,0.47,0.41,0,0,4.5,0,0,0.2906,0,0,0.0118,0.0815,0.0064,0.0068,0.0049,0,0.0036,0,0,0,0,0,0,0.0003,0,0.0143,0.0172,0.0033,0.0004,0,0,0,0,0,0,0
3.43,11.14,20.2,74.29,22.8,16.2,163.8,0.012,0.027,0.699,0.969,8.417159763,0.033,1.265,9.14,13.62,1.5,2.5,1.710526316,3.66,3.97,0.06,0.17,0.62,0,0,5.02,0,0,1.5042,0,0,0.0363,0.201,0,0.0182,0.004,0,0.5849,0,0,0,0,0,0,0,0,0.0048,0.0285,0.0013,0,0,0,0,0,0,0,0
3.54,12.89,20.6,64.29,21.1,9,247.6,0.03,0.05,0.755,0.938,6.384587685,0.056,1.33,8.85,14.42,0.2,1.5,3.791469194,2.75,2.41,0.05,0.11,0.11,0,0,4.69,0,0,1.3581,0,0,0,0.0556,0,0.0092,0.0127,0,0.6058,0,0,0,0,0,0,0,0,0.0038,0.0195,0.0023,0,0,0,0,0,0,0,0
3.25,11.51,20.1,75.71,41.8,27.7,150.9,0.03,0.027,0.534,1.276,8.470961887,0.032,1.34,9.46,14.48,3,2.7,1.363636364,3.97,2.19,0.04,0.2,0.07,0,0,5.28,0,0,1.5406,0,0,0.074,0.1449,0,0.0033,0.0106,0,0.2625,0,0,0,0,0,0,0,0,0.0016,0.0222,0.0025,0,0,0,0,0,0,0,0
3.92,10.78,19.6,72.86,44.8,21.9,152.2,0.022,0.044,0.837,1.215,9.675650982,0.033,1.378,9.06,14.72,2.5,2.7,1.473214286,4.14,3.51,0.1,0.65,0.06,0,0,5.33,0,0,0.9729,0,0,0.0021,0.0665,0.0254,0.0053,0.0025,0,0.3201,0,0,0,0,0,0,0,0,0.0002,0.0072,0.0019,0,0,0,0,0,0,0,0
3.68,11.35,19.5,94.29,22.2,91.1,117.8,0.047,0.085,0.588,1.266,8.593682389,0.059,1.153,8.45,12.44,3,2.8,5.945945946,2.24,2.57,0.04,0.89,0.07,0,0,3.7,0,0,1.2555,0,0,0.0016,0.0588,0.0626,0.0041,0.0026,0,0.2179,0,0,0,0,0,0,0,0,0.0025,0.001,0.0018,0,0,0,0,0,0,0,0
3.4,12.61,20,82.86,61.9,18.1,163.5,0.03,0.023,0.519,1.2,7.277207392,0.031,1.175,8.52,13.87,2.8,2,0.856219709,2.29,4.04,0,0.46,0.18,0,0,4.08,0,0,1.2788,0,0,0.0744,0.0002,0.0197,0.0013,0.001,0,0.0056,0,0,0,0,0,0,0,0,0.0007,0.0041,0.0014,0,0,0,0,0,0,0,0
2.31,12.5,20.4,54.29,88.2,34.7,120.8,0.053,0.032,0.642,1.244,8.087812885,0.031,1.613,8.67,10.17,3.5,1.9,0.963718821,4.78,2.48,0.06,2.55,0.01,0,0,2.72,0,0,0.275,0,0,0,0.0314,0,0.0047,0.0072,0,0.0072,0,0,0,0.0004,0.0012,0,0,0,0.0007,0.0087,0.0012,0.0008,0,0,0,0,0,0,0
3.86,12.85,20.4,75.71,22.2,43.9,128.1,0.036,0.044,0.476,0.909,7.54376931,0.056,1.362,9,11.76,1,2.5,3.603603604,5.53,2.31,0.01,0.25,0.06,0,0,3.56,0,0,0.8153,0,0,0.0073,0.0375,0.0584,0.0045,0.0025,0,0.1807,0,0,0,0,0,0,0,0,0.002,0.0071,0.0012,0,0,0,0,0,0,0,0
4.42,9.88,12.5,94,14.4,6.4,172.5,0.052,0.048,0.291,1.111,7.770305225,0.023,2.917,8.13,8.1,4,3.2,6.944444444,8,1.73,0.61,0.21,0.29,0,0,2.39,0,0,0,0,2.5221,0.5114,10.2006,0,0.0149,0.0136,0,0,0,0.0045,0,0.0066,0,0,0,0,0.0038,0.2062,0.0108,0,0,0.0132,0,0,0,0.0055,0
4.42,10.1,12.6,90,10.8,15.8,197.6,0.042,0.039,0.764,0.579,6.3514719,0.018,3.116,8.31,8.96,3.5,3.4,7.5,13.24,3.42,0.15,0.12,0.36,0,0,2.33,0,5.1941,0,0,3.8794,1.7159,9.1197,0,0.0099,0.0345,0,0,0,0,0,0,0,0,0,0,0.008,0.3978,0.0718,0,0,0.4764,0,0,0,0.0186,0
3.63,10.25,12.1,98,34.9,7.6,285.1,0.031,0.1,0.688,0.917,5.299145299,0.023,3.712,9.47,11.95,5,3.3,3.753581662,7.02,5.72,0.02,1.06,0.42,0,0,3.37,0,1.7314,0,0,3.3497,0.3911,9.5913,0,0.021,0.0469,0,0,0,0,0,0,0,0,0,0,0,0.4222,0.0677,0,0,0.2952,0,0,0,0.0124,0
3.99,10.15,12.3,120,32,25.5,183.8,0.031,0.082,0.775,1.139,8.400331538,0.057,3.843,10.05,13.95,6,2.7,3.53125,8.97,8.91,0.05,0.93,0.99,0,0,4.72,0,7.7912,3.0357,0,2.7053,0,13.2423,1.8827,0.064,0.0213,0,0,0,0,0,0,0,0,0,0,0,0.3645,0.0328,0,0,0.0315,0,0,0,0.0127,0
4.42,10.14,12.2,120,13.9,15.2,171.1,0.042,0.031,0.655,1.141,9.335664336,0.029,3.483,9,13.06,6,2.6,5.251798561,6.78,3.68,0,0.57,0,0.01,0,4,0,4.3284,5.3124,0,0.517,0,2.7024,2.8397,0.0299,0.0171,0,0,0,0,0,0,0,0,0,0,0,0.3507,0.0472,0,0,0.0984,0,0,0,0.0068,0
3.86,9.84,12,138,12.8,34.3,213.5,0.033,0.069,0.7,1.351,8.261703761,0.016,3.579,8.68,17.42,4.5,2.7,7.96875,7.1,7.27,0.04,1.84,0.08,0,0,3.37,0,0,0.922,0,0,0.0074,0.1347,0.0469,0.0042,0.0036,0,0.2519,0,0,0,0,0,0,0,0,0,0.0043,0.0005,0,0,0,0,0,0,0,0
4.23,9.77,10.9,114,7.3,45,231.6,0.034,0.054,0.741,1.047,6.607960549,0.019,3.483,9.25,14.24,4,1.5,12.05479452,5.96,2.36,0.08,2.17,0.02,0,0,3.39,0,0,0.1228,0,0,0,0.227,0.0082,0.0007,0.0014,0,0.1397,0,0,0,0,0,0,0,0,0,0.0213,0.0032,0,0,0,0,0,0,0,0
3.85,9.95,12.6,88,21.7,21.5,192.5,0.03,0.074,0.62,1.011,7.361052185,0.028,3.621,9.89,12.21,3,3.4,4.792626728,6.31,4.44,0.02,0.29,0.03,0,0,3.62,0,0,0.11,0,0,0,0.0817,0.0421,0.0209,0.0031,0,0.0498,0,0,0,0,0,0,0,0,0,0.0086,0.0015,0,0,0,0,0,0,0,0
4.42,10.43,12.3,94,10.6,7.5,200.2,0.036,0.034,0.409,0.915,6.385707742,0.035,2.327,7.51,8.08,3,2.7,6.603773585,4.07,1.69,0.04,1.16,0.02,0,0,2.73,0,0,0.1149,0,0.1103,0.1785,0.1371,0,0,0.0119,0,0.1622,0,0,0,0,0,0,0,0,0.0003,0.032,0.0167,0,0,0,0,0,0,0,0
4.42,10.02,12.4,80,8.9,2,156.6,0.032,0.032,0.603,0.737,8.382089552,0.023,2.93,8.47,9.77,2.5,3,7.191011236,7.36,2.97,0.03,0.98,0.06,0,0.1,3.75,0,0,0.0336,0,0.0358,0.0493,0.03,0,0.0077,0,0,0.0621,0,0,0,0,0,0,0,0,0,0.0196,0.0052,0,0,0,0,0,0,0,0
4.42,9.7,12.6,94,28.5,0.7,139.2,0.037,0.038,0.685,0.861,9.625890736,0.022,3.167,9.22,10.02,5,3.2,2.631578947,5.92,5.7,0.27,3.57,0.04,0,0,6,0,0,0.0623,0,0.0244,0,0.0126,0,0.005,0.3201,0,0.0355,0,0,0,0.0025,0,0,0,0,0.0002,0.0213,0.0007,0,0,0,0,0,0,0,0
3.96,9.68,12.6,104,8.2,36.3,118.5,0.044,0.035,0.555,0.815,8.889570552,0.017,2.834,8.5,9.73,6.5,3.5,9.634146341,3.44,5.54,0.06,1.03,0.16,0,0,3.52,0,0,0.001,0,0.0642,0.0664,0.0716,0,0.0048,0.0011,0,0.194,0,0,0,0,0,0,0,0,0.0009,0.0276,0.0046,0,0,0,0,0,0,0,0
4.08,9.37,12.6,104,38.5,40.9,191.5,0.024,0.061,0.783,1.008,6.925064599,0.022,3.775,10.63,14.41,6,3.5,2.207792208,4.14,6.71,0,1.27,0.02,0,0,3.99,0,0,0.6418,0,0.1862,0.056,0.2885,0,0.0313,0.0027,0,0.4997,0,0,0,0,0,0,0,0,0,0.0037,0.0003,0,0,0,0,0,0,0,0
4.42,10.05,12.2,88,33.6,2.5,194.7,0.026,0.053,0.752,0.904,7.517331023,0.028,3.873,10.38,12.99,5,3.4,2.351190476,4.33,7.79,0.45,0.04,1.8,0,0,6.48,0,0,0.376,0,0.2587,0.1085,0.1433,0,0.002,0.0013,0,0.4554,0,0,0,0,0,0,0,0,0,0.003,0.0004,0,0,0,0,0,0,0,0
4.42,9.93,12.3,124,26.5,13.9,226.5,0.035,0.048,0.762,1.05,7.100037467,0.02,3.643,10.35,14.34,4,2.2,3.132075472,5.57,9.42,0.33,0.13,2.9,0,0,6.47,0,0,0.1462,0,0.0528,0.0736,0.0705,0,0.0043,0,0,0.1061,0,0,0,0,0,0,0,0,0,0.0018,0.0006,0,0,0,0,0,0,0,0
3.6,10.22,17.1,106.25,19,10.7,116.1,0.016,0.016,0.587,0.284,6.193415638,0.012,2.396,6.94,9.63,3,3.4,1.684210526,0.7,4.27,0.29,1.14,0,0,0,3.01,0,0,0,0,0,0.2027,0,0,0.0045,0.0299,0,0,0,0.0162,0.0446,0.0077,0,0,0,0,0.2863,0.0067,0.0017,0,0.0224,0,0,0,0.0035,0,1
3.3,10.28,16.8,122.5,14.4,15.2,149.3,0.015,0.016,0.67,0.441,6.383454444,0.027,2.568,6.6,9.4,5,3.4,2.152777778,0.36,4.69,0.17,1.19,0.89,0.05,0,2.41,0,0,0,0,0.3286,0.8503,0,0,0.0038,0.0217,0,0,0,0.0112,0.0427,0.0084,0,0,0,0,1.0887,0.0126,0,0,0.0139,0,0,0,0.001,0,1
